snapshot_date,rank,code,name,weight_pct,shares,unit
20260709,1,202607TX,臺股期貨,22.05,185,口
20260709,2,M_NTD,MARGIN,11.23,860055714,元
20260709,4,2330,台灣積體電路製造,8.63,273000,股
20260709,5,2383,台光電子材料,6.29,91000,股
20260709,6,2327,國巨*,6.0,511000,股
20260709,7,3037,欣興電子,4.76,417000,股
20260709,8,2454,聯發科技,4.56,89000,股
20260709,9,6223,旺矽科技,4.25,46000,股
20260709,10,2345,智邦科技,3.9,121000,股
20260709,11,8046,南亞電路板,3.52,222000,股
20260709,12,6669,緯穎科技服務,3.49,53000,股
20260709,13,3017,奇鋐科技,3.44,112000,股
20260709,14,2303,聯華電子,3.03,1490000,股
20260709,15,2308,台達電子工業,2.85,116000,股
20260709,16,6274,台燿科技,2.6,127000,股
20260709,17,3711,日月光投資控股,2.44,276000,股
20260709,18,3665,貿聯控股,2.43,100000,股
20260709,19,3653,健策精密工業,2.05,49000,股
20260709,20,5274,信驊科技,1.93,10800,股
20260709,21,2368,金像電子,1.63,116000,股
20260709,22,2360,致茂電子,1.35,57000,股
20260709,23,2059,川湖科技,1.29,12000,股
20260709,24,2344,華邦電子,1.12,488000,股
20260709,25,6515,穎崴科技,1.12,11000,股
20260709,26,6805,富世達股份有限公司,0.84,44000,股
20260709,27,6187,萬潤科技,0.75,55000,股
20260709,28,5536,聖暉工程科技,0.57,36000,股
20260709,29,3167,大量科技,0.56,55000,股
20260709,30,8150,南茂科技,0.54,355000,股
20260709,31,6147,頎邦科技,0.52,182000,股
20260709,32,6213,聯茂電子,0.5,100000,股
20260709,33,8210,勤誠興業,0.48,31000,股
20260709,34,1303,南亞塑膠工業,0.44,185000,股
20260709,35,3357,西北臺慶科技,0.43,120000,股
20260709,36,6138,茂達電子,0.39,80000,股
20260709,37,2472,立隆電子工業,0.37,76000,股
20260709,38,2404,漢唐集成,0.36,23000,股
20260709,39,3189,景碩科技,0.34,33000,股
20260709,40,3533,嘉澤端子工業,0.31,12000,股
20260709,41,3131,弘塑科技,0.3,7000,股
20260709,42,2885,元大金融控股,0.27,300000,股
20260709,43,6139,亞翔工程,0.26,23000,股
20260709,44,5439,高技企業,0.25,60000,股
20260709,45,6531,愛普科技,0.24,20000,股
20260709,46,6683,雍智科技,0.23,10000,股
20260709,47,3443,創意電子,0.23,4000,股
20260709,48,2455,全新光電科技,0.22,50000,股
20260709,49,6510,中華精測科技,0.22,6000,股
20260709,50,5289,宜鼎國際,0.2,10000,股
20260709,51,3211,順達科技,0.18,30000,股
20260709,52,3105,穩懋半導體,0.16,30000,股
20260709,53,6488,環球晶圓,0.11,6000,股
20260709,54,RDI_NTD,RECEIVABLES FOR DISPOSAL OF INVESTMENTS,0.0,-205942557,元
20260709,55,TXOG62026,臺指選擇權買權,-10.0,-500,口
20260709,56,TXVG62026,臺指選擇權第二週週五到期契約買權,-11.63,-470,口
